%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8,road
1.55619146475181E+018,563,1.55619146475031E+018,base_imu_link,0.5041979205,0.8633319291,0.0109819948,-0.017939702,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.01,0,-0.18,0.02,0,0,0,0.02,0,0,0,0.02,0.6270477344,-0.15321875,-10.6965839844,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146476633E+018,564,1.55619146476611E+018,base_imu_link,0.5041841535,0.863322791,0.0110326218,-0.018718418,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.02,-0.01,-0.19,0.02,0,0,0,0.02,0,0,0,0.02,0.689484375,-0.1103175,-10.6341473437,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146478659E+018,565,1.55619146478628E+018,base_imu_link,0.5039467336,0.863439011,0.011392151,-0.0195187843,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.03,-0.02,-0.19,0.02,0,0,0,0.02,0,0,0,0.02,0.5554179688,0.15321875,-10.1074578906,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146480644E+018,566,1.55619146480604E+018,base_imu_link,0.5038184455,0.8635059927,0.0126509745,-0.0190873622,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.04,-0.03,-0.19,0.02,0,0,0,0.02,0,0,0,0.02,-0.0287285156,-0.5508214063,-10.7253125,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146482737E+018,567,1.55619146482626E+018,base_imu_link,-0.5036587025,-0.8636591538,-0.009878271,0.017977685,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.05,-0.02,-0.2,0.02,0,0,0,0.02,0,0,0,0.02,0.689484375,0.2777089844,-10.3181336719,0.04,0,0,0,0.04,0,0,0,0.04,1
1.5561914648466E+018,568,1.55619146484615E+018,base_imu_link,0.5033825288,0.8637935475,0.0121328914,-0.0178753997,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.06,-0.03,-0.2,0.02,0,0,0,0.02,0,0,0,0.02,0.6416035156,0.1198936719,-9.9017617188,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146486734E+018,569,1.55619146486677E+018,base_imu_link,0.5031686466,0.8638932564,0.0135473094,-0.0180616988,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.06,-0.03,-0.21,0.02,0,0,0,0.02,0,0,0,0.02,0.8572589063,-0.0049796094,-9.8443046875,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146488707E+018,570,1.55619146488657E+018,base_imu_link,0.5030818611,0.8638907176,0.0148129381,-0.0195459928,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.05,-0.02,-0.21,0.02,0,0,0,0.02,0,0,0,0.02,-0.3018409375,-0.3880264844,-10.5146367187,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146490606E+018,571,1.5561914649058E+018,base_imu_link,0.5030167963,0.8640319055,0.0116737968,-0.0169319598,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.05,-0.02,-0.21,0.02,0,0,0,0.02,0,0,0,0.02,0.2202519531,0.1007413281,-10.6295507812,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146492698E+018,572,1.55619146492643E+018,base_imu_link,0.5028922543,0.8641280343,0.012005333,-0.0154270179,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.06,-0.02,-0.21,0.02,0,0,0,0.02,0,0,0,0.02,0.5125167188,0.842703125,-10.0549804687,0.04,0,0,0,0.04,0,0,0,0.04,1
1.55619146494635E+018,573,1.55619146494595E+018,base_imu_link,0.5024263828,0.8643641828,0.0160621419,-0.0135755986,0.0025,0,0,0,0.0025,0,0,0,0.0025,-0.05,-0.02,-0.21,0.02,0,0,0,0.02,0,0,0,0.02,0.7611141406,-0.340145625,-10.1840672656,0.04,0,0,0,0.04,0,0,0,0.04,1
